group,fname,flags_thresh,flags_out,flags_natoms,flags_atomids,natoms,econfig,eatom,max_fmag,min_nn1_dist
Shear,InP_shear_1281.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.904136477999998,-0.98802,10.866891454540715,4.203754981870375
Shear,InP_shear_1291.json,fmag>8 ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.579187378,-0.8224,12.930255254283072,4.144693120232184
Shear,InP_shear_1291.json,fmag>8 nn1_dist_outside_2.0-4.5A ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.579187378,-0.8224,12.930255254283072,4.144693120232184
Shear,InP_shear_1291.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.579187378,-0.8224,12.930255254283072,4.144693120232184
Shear,InP_shear_1291.json,fz>8 fmag>8 ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.579187378,-0.8224,12.930255254283072,4.144693120232184
Shear,InP_shear_1301.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.425052797999999,-0.92813,11.64379381916753,4.178345137539502
Shear,InP_shear_1301.json,fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.425052797999999,-0.92813,11.64379381916753,4.178345137539502
Shear,InP_shear_1301.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.425052797999999,-0.92813,11.64379381916753,4.178345137539502
Shear,InP_shear_1301.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.425052797999999,-0.92813,11.64379381916753,4.178345137539502
Shear,InP_shear_131.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.799812057999997,-0.97498,11.031955830918559,4.224740054500394
Shear,InP_shear_131.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.799812057999997,-0.97498,11.031955830918559,4.224740054500394
Shear,InP_shear_1311.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.894669988,-0.98683,10.874056869542207,4.231404893129467
Shear,InP_shear_1311.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.894669988,-0.98683,10.874056869542207,4.231404893129467
Shear,InP_shear_1321.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.723612987999999,-0.96545,11.152015622815187,4.234715613639244
Shear,InP_shear_1321.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.723612987999999,-0.96545,11.152015622815187,4.234715613639244
Shear,InP_shear_1331.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.640526037999997,-0.95507,11.227947915403332,4.361623746095026
